,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
562,Sorong,ID,79.36,moderate rain,-0.8833,131.25,Hotel Membramo Marina
563,Playa Del Carmen,MX,84.22,scattered clouds,20.6274,-87.0799,Wabi hotel
569,Campo Maior,BR,84.96,overcast clouds,-4.8278,-42.1686,Hotel Pousada do Lago
574,Tshikapa,CD,72.5,few clouds,-6.4167,20.8,Hôtel TSHAMUNTU
578,Sabang,ID,79.81,overcast clouds,5.8933,95.3214,Sabang Hill
594,Pemangkat,ID,76.68,overcast clouds,1.1667,108.9667,Hotel Kelapa Gading
599,Gorontalo,ID,73.85,overcast clouds,0.5412,123.0595,Grand City Hotel
613,Kissidougou,GN,84.15,broken clouds,9.1848,-10.0999,Mantisse
618,Atar,MR,73.47,clear sky,20.5169,-13.0499,فندق سكليل
621,Tual,ID,82.26,overcast clouds,-5.6667,132.75,Suita
623,Luanda,AO,82.4,scattered clouds,-8.8368,13.2343,Hotel Forum
625,Mercedes,AR,76.03,scattered clouds,-34.6515,-59.4307,Gran Hotel Mercedes
626,Vavoua,CI,84.97,clear sky,7.3819,-6.4778,Hôtel Sougoun
631,Kurunegala,LK,71.44,overcast clouds,7.4863,80.3623,Rock Hotel
636,Isangel,VU,80.26,few clouds,-19.55,169.2667,Tanna Lodge
642,Copiapo,CL,71.29,clear sky,-27.3667,-70.3333,Hotel Il Riposo
647,Kuching,MY,80.02,light rain,1.55,110.3333,Hotel Samudera
650,Papetoai,PF,85.59,clear sky,-17.4961,-149.8729,Ancien Intercontinental (fermé)
652,Bundaberg,AU,74.21,few clouds,-24.85,152.35,Young Australian Hotel
653,Formosa Do Rio Preto,BR,82.4,overcast clouds,-11.0483,-45.1931,Pousada Universo - Formosa do Rio Preto BA
654,Uaua,BR,86.56,overcast clouds,-9.8414,-39.4817,Hotel Uauá
656,Kalmunai,LK,76.35,overcast clouds,7.4167,81.8167,Saji new food
660,Tabou,CI,80.64,clear sky,4.423,-7.3528,hôtel le rochet
664,Kibi,GH,80.65,scattered clouds,6.1649,-0.5538,Gold City Hotel
666,Sao Geraldo Do Araguaia,BR,81.34,broken clouds,-6.4006,-48.555,Tomazi Hotel
668,Rawson,AR,79.9,broken clouds,-43.3002,-65.1023,Hotel Deportivo
670,Celestun,MX,81.54,overcast clouds,20.8667,-90.4,Hotel Flamingo Playa
674,Kroya,ID,76.26,light rain,-7.6331,109.2461,Setia Hotel
676,Bontang,ID,74.46,light rain,0.1333,117.5,Hotel Sederhana
680,Diamantino,BR,84.63,broken clouds,-14.4086,-56.4461,Hotel kayaby
682,Emerald,AU,81.34,overcast clouds,-23.5333,148.1667,Emerald Central Hotel
684,Sechura,PE,85.03,scattered clouds,-5.5569,-80.8222,Hospedaje Claritza
688,French Harbor,HN,82.4,few clouds,16.35,-86.4333,Fantasy Island
